,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
30,18/08/2024,Kortrijk,Standard,1,0,H,0.0,0.0,D,2.7,2.63,3.2,3,1,6,0,2.0,0.0,3.0,0.0,3,5,L,D,W,W,L,D,M,M,M,M,4
31,18/08/2024,Gent,Westerlo,4,1,H,3.0,1.0,H,1.9,3.7,3.8,2,11,3,5,0.0,6.0,1.0,1.0,3,9,L,W,L,W,W,W,M,M,M,M,4
32,24/08/2024,Westerlo,Oud-Heverlee Leuven,1,1,D,1.0,1.0,D,1.95,3.4,3.5,11,4,5,2,6.0,3.0,1.0,1.0,9,5,W,D,W,W,W,D,M,M,M,M,4
33,24/08/2024,Antwerp,Mechelen,0,1,A,0.0,1.0,A,1.53,5.0,4.1,8,3,3,5,4.0,0.0,1.0,2.0,6,2,W,D,L,L,W,D,M,M,M,M,4
34,25/08/2024,Dender,Club Brugge,1,2,A,1.0,2.0,A,4.75,1.55,4.2,6,3,2,5,3.0,1.0,1.0,0.0,7,1,W,L,W,L,D,D,M,M,M,M,4
35,25/08/2024,St Truiden,St. Gilloise,0,0,D,0.0,0.0,D,5.5,1.48,4.1,2,6,11,5,0.0,3.0,6.0,3.0,0,4,L,L,L,W,L,D,M,M,M,M,4
36,25/08/2024,Standard,Beerschot VA,1,0,H,0.0,0.0,D,1.73,4.1,3.6,1,5,1,11,0.0,2.0,0.0,8.0,5,1,L,L,D,L,W,L,M,M,M,M,5
37,25/08/2024,Charleroi,Kortrijk,1,0,H,1.0,0.0,H,1.7,4.33,3.6,5,4,3,6,4.0,2.0,1.0,3.0,6,6,L,W,W,L,W,W,M,M,M,M,5
38,30/08/2024,Genk,Westerlo,1,0,H,0.0,0.0,D,1.62,4.75,4.2,8,12,8,9,3.0,7.0,4.0,4.0,7,9,W,L,W,W,L,W,M,M,M,M,5
39,31/08/2024,Mechelen,Charleroi,5,2,H,3.0,2.0,H,2.7,2.55,3.3,4,5,8,3,1.0,4.0,4.0,1.0,2,6,L,L,D,W,L,W,M,M,M,M,5
40,31/08/2024,Beerschot VA,Dender,1,2,A,0.0,2.0,A,2.9,2.4,3.3,5,9,11,5,2.0,4.0,8.0,3.0,1,8,L,D,L,W,L,W,D,D,M,M,5
41,31/08/2024,Oud-Heverlee Leuven,Standard,2,0,H,1.0,0.0,H,1.91,4.0,3.5,5,1,3,1,4.0,0.0,2.0,0.0,6,5,D,L,D,D,W,W,D,D,M,M,5
42,01/09/2024,Club Brugge,Cercle Brugge,3,0,H,2.0,0.0,H,1.53,5.75,4.2,4,6,5,7,1.0,5.0,0.0,4.0,4,4,W,D,L,W,L,L,D,L,M,M,5
43,01/09/2024,Gent,Antwerp,1,1,D,1.0,1.0,D,2.5,2.6,3.5,6,8,4,4,3.0,4.0,2.0,1.0,6,6,W,L,L,W,L,L,W,W,M,M,5
44,01/09/2024,St. Gilloise,Anderlecht,0,0,D,0.0,0.0,D,2.05,3.3,3.7,7,7,5,3,3.0,4.0,3.0,3.0,7,10,W,W,L,D,W,W,D,W,M,M,5
45,01/09/2024,Kortrijk,St Truiden,1,1,D,0.0,1.0,A,2.05,3.3,3.5,4,5,7,14,2.0,2.0,4.0,7.0,6,2,L,D,W,D,L,L,W,L,M,M,6
46,13/09/2024,Dender,Standard,0,2,A,0.0,1.0,A,2.0,3.7,3.3,10,2,7,1,5.0,0.0,5.0,0.0,8,8,L,W,D,L,W,D,W,W,M,M,6
47,14/09/2024,Cercle Brugge,Genk,2,3,A,2.0,2.0,D,2.75,2.4,3.6,6,9,10,8,5.0,3.0,6.0,4.0,4,10,L,W,D,W,W,W,L,L,M,M,6
48,14/09/2024,Kortrijk,Club Brugge,0,3,A,0.0,1.0,A,6.0,1.45,4.5,4,6,7,6,2.0,3.0,4.0,1.0,6,7,L,W,W,W,L,L,W,L,M,M,6
49,14/09/2024,Anderlecht,Westerlo,2,2,D,1.0,1.0,D,1.7,4.5,3.8,7,13,3,10,4.0,8.0,3.0,5.0,11,10,D,D,W,L,D,W,W,W,M,M,6
50,15/09/2024,Antwerp,St. Gilloise,2,0,H,0.0,0.0,D,2.35,2.88,3.5,8,7,5,5,4.0,3.0,2.0,3.0,6,8,L,D,L,W,W,L,L,W,W,D,6
51,15/09/2024,St Truiden,Oud-Heverlee Leuven,2,1,H,1.0,0.0,H,2.9,2.35,3.4,5,6,14,4,2.0,5.0,7.0,3.0,2,7,D,D,D,D,L,D,L,W,L,D,6
52,15/09/2024,Charleroi,Beerschot VA,3,0,H,1.0,0.0,H,1.6,5.25,4.1,6,5,3,12,5.0,2.0,1.0,8.0,9,1,W,L,L,L,W,L,W,L,L,D,6
53,15/09/2024,Gent,Mechelen,2,0,H,2.0,0.0,H,1.67,4.75,4.0,7,5,5,8,4.0,2.0,3.0,4.0,7,5,D,W,W,L,L,D,L,L,W,D,6
54,17/09/2024,Anderlecht,Genk,0,2,A,0.0,1.0,A,2.6,2.5,3.7,9,12,5,10,5.0,5.0,4.0,6.0,12,13,D,W,D,W,W,W,D,W,W,L,7
55,20/09/2024,Standard,St. Gilloise,0,0,D,0.0,0.0,D,3.9,1.85,3.3,2,7,3,5,0.0,3.0,1.0,3.0,8,9,L,D,W,D,L,W,D,L,W,W,7
56,21/09/2024,Beerschot VA,St Truiden,0,3,A,0.0,1.0,A,2.4,2.7,3.3,6,6,14,15,2.0,3.0,10.0,7.0,1,3,L,D,L,D,L,D,L,L,L,L,7
57,21/09/2024,Westerlo,Antwerp,1,2,A,1.0,1.0,D,2.88,2.1,3.6,13,9,11,6,8.0,5.0,5.0,3.0,10,7,L,D,D,L,L,L,W,W,W,L,7
58,21/09/2024,Anderlecht,Charleroi,0,0,D,0.0,0.0,D,1.95,3.5,3.4,9,8,5,8,5.0,7.0,4.0,4.0,12,9,D,L,D,W,W,L,D,W,W,W,7
59,22/09/2024,Club Brugge,Gent,2,4,A,0.0,2.0,A,1.5,5.25,4.1,9,9,6,5,5.0,6.0,1.0,3.0,10,10,W,W,W,D,W,W,L,L,L,L,7
60,22/09/2024,Mechelen,Cercle Brugge,2,0,H,1.0,0.0,H,2.5,2.45,3.6,10,8,10,13,5.0,7.0,6.0,8.0,8,4,W,L,W,L,L,D,D,W,L,L,7
61,22/09/2024,Genk,Dender,4,0,H,1.0,0.0,H,1.48,5.0,4.33,12,12,10,8,5.0,7.0,6.0,5.0,13,11,W,W,W,L,W,D,W,W,L,W,7
62,22/09/2024,Oud-Heverlee Leuven,Kortrijk,1,1,D,0.0,0.0,D,1.8,4.2,3.4,8,5,4,8,6.0,2.0,3.0,5.0,10,7,W,D,D,L,D,W,D,L,W,W,7
63,26/09/2024,Cercle Brugge,Gent,2,1,H,0.0,0.0,D,2.63,2.38,3.6,8,13,15,7,7.0,8.0,9.0,3.0,4,13,L,W,L,W,L,D,D,W,W,L,8
64,27/09/2024,Charleroi,Club Brugge,1,1,D,0.0,0.0,D,3.6,1.9,3.75,11,12,8,6,8.0,6.0,4.0,1.0,12,13,W,W,L,W,W,W,L,W,W,L,8
65,28/09/2024,Genk,Mechelen,2,1,H,0.0,0.0,D,1.53,5.25,4.33,14,10,10,12,6.0,5.0,6.0,8.0,16,8,W,L,W,W,W,W,W,L,W,D,8
66,28/09/2024,Standard,Westerlo,1,2,A,0.0,1.0,A,2.63,2.6,3.3,4,15,3,13,1.0,9.0,1.0,6.0,11,11,W,D,L,L,W,D,L,L,D,W,8
67,28/09/2024,Dender,Anderlecht,1,1,D,0.0,1.0,A,3.2,2.15,3.4,12,9,10,7,7.0,5.0,6.0,5.0,11,12,L,L,W,D,L,D,D,W,W,D,8
68,29/09/2024,Antwerp,Beerschot VA,5,0,H,,,,1.27,9.0,5.75,11,6,6,17,5.0,2.0,3.0,11.0,10,1,W,L,D,L,L,L,L,L,W,L,8
69,29/09/2024,St. Gilloise,Kortrijk,3,0,H,1.0,0.0,H,1.38,8.0,4.33,7,5,7,11,3.0,2.0,3.0,6.0,9,7,L,L,D,D,D,L,W,W,L,L,8
70,29/09/2024,Gent,Oud-Heverlee Leuven,3,0,H,2.0,0.0,H,1.75,3.8,3.9,13,9,7,6,8.0,6.0,3.0,4.0,13,10,W,L,W,W,D,D,W,D,L,D,8
71,29/09/2024,Cercle Brugge,St Truiden,1,1,D,1.0,0.0,H,1.65,4.5,3.75,8,8,15,16,7.0,4.0,9.0,7.0,4,6,L,W,L,D,L,D,D,D,W,L,8
