,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
35,01/09/2024,Guimaraes,Famalicao,2,1,H,1,1,D,1.95,3.9,3.4,2,6,1,0,2,3,0,0,6,9,L,W,W,W,W,W,M,M,M,M,4
36,13/09/2024,Arouca,Sp Lisbon,0,3,A,0,1,A,13.0,1.22,6.0,2,16,5,2,2,6,4,1,3,12,L,W,W,W,L,W,M,M,M,M,5
37,14/09/2024,Casa Pia,Moreirense,3,1,H,0,1,A,2.7,2.8,3.0,1,7,6,6,0,3,0,2,3,7,W,D,L,L,L,W,M,M,M,M,5
38,14/09/2024,AVS,Rio Ave,1,0,H,0,0,D,2.7,2.75,3.1,5,3,7,5,3,2,4,4,4,6,L,W,W,L,L,W,M,M,M,M,5
39,14/09/2024,Benfica,Santa Clara,4,1,H,2,1,H,1.25,10.0,6.0,5,8,3,4,1,2,1,4,7,9,D,W,W,W,W,L,M,M,M,M,5
40,14/09/2024,Famalicao,Gil Vicente,1,1,D,1,0,H,1.85,4.5,3.3,7,4,2,5,4,2,1,3,9,5,L,D,W,D,W,W,W,L,M,M,5
41,15/09/2024,Porto,Farense,2,1,H,0,0,D,1.14,21.0,7.5,7,1,2,10,5,0,0,5,9,0,L,L,W,L,W,L,W,L,M,M,5
42,15/09/2024,Estoril,Nacional,1,0,H,1,0,H,2.3,3.1,3.3,1,4,5,8,1,3,2,3,2,4,D,W,D,L,L,L,L,D,M,M,5
43,15/09/2024,Sp Braga,Guimaraes,0,2,A,0,0,D,2.0,3.5,3.6,5,4,2,2,2,3,0,1,8,9,D,W,W,L,W,W,D,W,M,M,5
44,16/09/2024,Estrela,Boavista,2,2,D,1,2,A,1.91,4.2,3.3,1,1,6,2,0,0,2,2,1,4,L,D,L,L,L,L,D,W,M,M,5
45,20/09/2024,Nacional,Sp Braga,0,3,A,0,0,D,5.25,1.65,3.8,4,5,9,4,3,2,4,0,4,8,L,L,W,D,L,W,L,W,M,M,6
46,21/09/2024,Rio Ave,Estoril,2,2,D,1,0,H,1.91,4.1,3.4,3,2,6,5,2,2,4,2,6,5,L,W,W,D,L,D,W,L,M,M,6
47,21/09/2024,Santa Clara,Estrela,1,0,H,0,0,D,1.75,5.0,3.5,9,3,8,8,3,1,6,4,9,2,L,D,W,L,W,L,L,L,M,M,6
48,21/09/2024,Guimaraes,Porto,0,3,A,0,0,D,3.5,2.2,3.1,6,9,2,3,3,5,1,0,12,12,W,W,W,L,L,W,W,W,M,M,6
49,21/09/2024,Moreirense,Famalicao,0,0,D,0,0,D,2.55,3.0,3.0,8,8,9,3,4,5,2,1,7,10,L,D,D,L,L,W,W,W,M,M,6
50,22/09/2024,Gil Vicente,Casa Pia,1,1,D,1,0,H,2.1,3.8,3.1,5,4,6,7,2,0,4,1,6,6,D,W,D,W,D,L,W,L,L,L,6
51,22/09/2024,Farense,Arouca,0,1,A,0,1,A,2.7,2.7,3.1,2,2,12,8,0,2,5,5,0,3,L,L,L,L,L,W,L,L,L,L,6
52,22/09/2024,Sp Lisbon,AVS,3,0,H,2,0,H,1.07,23.0,12.0,19,6,2,7,7,3,1,4,15,7,W,W,W,L,W,W,W,L,W,D,6
53,23/09/2024,Boavista,Benfica,0,3,A,0,2,A,11.0,1.25,6.0,3,9,4,4,2,3,3,2,5,10,D,W,D,D,L,W,L,W,W,L,6
54,27/09/2024,Estoril,Sp Lisbon,0,3,A,0,2,A,13.0,1.17,7.5,4,22,7,2,2,9,3,1,6,18,D,W,W,W,D,W,D,W,L,W,7
