,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
24,6020,2024-08-25,GO Ahead Eagles,Waalwijk,2,0,H,1,1,0,2,4,7,0,2,2,4,0,0,L,L,L,L,M,M,M,M,M,M,3
25,6021,2024-08-30,Waalwijk,AZ Alkmaar,0,3,A,0,0,2,2,7,0,2,1,4,0,0,6,L,W,L,W,M,M,M,M,M,M,3
26,6022,2024-08-31,Almere City FC,Groningen,1,1,D,1,0,0,6,4,2,2,4,1,1,0,6,L,W,L,W,M,M,M,M,M,M,3
27,6023,2024-08-31,Fortuna Sittard,NEC Nijmegen,0,3,A,0,0,5,2,3,3,1,1,2,2,6,3,L,W,W,L,M,M,M,M,M,M,4
28,6024,2024-08-31,Heerenveen,NAC Breda,4,0,H,0,4,5,4,2,7,0,2,6,5,4,3,W,L,D,W,M,M,M,M,M,M,4
29,6025,2024-08-31,Willem II,Sparta Rotterdam,1,2,A,0,1,4,2,2,2,2,2,2,0,5,3,D,D,W,D,M,M,M,M,M,M,4
30,6026,2024-09-01,Utrecht,Twente,2,1,H,1,1,4,4,2,4,2,1,1,3,7,4,W,L,D,D,W,W,M,M,M,M,4
31,6027,2024-09-01,PEC Zwolle,Heracles,3,0,H,1,2,1,2,7,4,1,2,2,0,0,2,L,D,L,L,L,D,M,M,M,M,4
32,6028,2024-09-01,PSV Eindhoven,GO Ahead Eagles,3,0,H,2,1,15,2,3,4,4,1,3,3,9,3,W,W,W,L,W,L,M,M,M,M,4
33,6029,2024-09-14,PSV Eindhoven,NEC Nijmegen,2,0,H,2,0,15,2,3,3,4,1,3,2,9,3,W,W,W,L,W,L,M,M,M,M,4
34,6030,2024-09-14,Twente,PEC Zwolle,1,1,D,0,1,4,1,4,7,1,1,3,2,4,0,L,L,D,L,W,L,M,M,M,M,4
35,6031,2024-09-14,Groningen,Feyenoord,2,2,D,0,2,6,7,2,3,4,2,1,1,7,5,D,D,W,W,W,D,M,M,M,M,4
36,6032,2024-09-14,NAC Breda,Fortuna Sittard,1,0,H,0,1,4,5,11,4,6,2,5,2,3,6,L,L,L,L,W,W,M,M,M,M,5
37,6033,2024-09-14,AZ Alkmaar,Heerenveen,9,1,H,2,7,5,6,0,11,1,7,0,8,10,4,W,L,D,W,W,D,M,M,M,M,5
38,6034,2024-09-15,Sparta Rotterdam,GO Ahead Eagles,1,2,A,0,1,4,2,3,7,3,2,0,5,6,3,W,L,D,W,D,L,M,M,M,M,5
