,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
34,22/09/2024,Athens Kallithea,AEK,0,0,D,0,0,D,8.5,1.33,5.0,3,7,4,1,1,3,2,1,2,7,D,W,L,D,D,W,M,M,M,M,4
35,28/09/2024,Volos NFC,Athens Kallithea,1,1,D,1,1,D,2.3,3.0,3.3,2,3,5,4,1,1,2,2,3,2,L,D,W,L,L,D,M,M,M,M,4
36,28/09/2024,Asteras Tripolis,Levadeiakos,1,1,D,1,1,D,1.8,4.75,3.4,3,2,4,6,1,0,3,3,4,2,L,D,D,L,L,L,M,M,M,M,5
37,29/09/2024,OFI Crete,Panetolikos,1,2,A,1,0,H,1.91,4.0,3.5,7,3,7,3,3,1,2,0,7,4,W,D,W,W,D,L,M,M,M,M,5
38,29/09/2024,Olympiakos,Atromitos,2,0,H,1,0,H,1.25,12.0,5.5,7,5,1,5,3,2,0,3,10,5,D,W,W,L,W,D,M,M,M,M,5
39,29/09/2024,PAOK,Aris,0,1,A,0,0,D,1.7,5.0,3.7,7,5,3,5,3,1,1,1,10,5,D,L,W,D,W,W,M,M,M,M,5
40,29/09/2024,AEK,Panathinaikos,2,0,H,1,0,H,1.85,4.33,3.5,9,3,1,3,4,1,1,1,10,5,W,D,W,D,D,W,W,L,M,M,5
41,30/09/2024,Lamia,Panserraikos,1,2,A,0,1,A,2.55,2.75,3.3,2,4,4,9,1,3,1,4,5,1,D,D,L,L,D,L,W,L,M,M,5
42,05/10/2024,Atromitos,Volos NFC,1,2,A,1,0,H,1.85,4.75,3.2,5,2,5,7,2,1,3,3,5,3,W,L,L,L,D,W,D,L,M,M,5
43,05/10/2024,Panetolikos,AEK,1,0,H,0,0,D,10.0,1.33,4.75,3,9,3,1,1,4,0,1,4,10,D,W,W,W,L,D,L,W,M,M,5
44,05/10/2024,Aris,Lamia,2,0,H,2,0,H,1.48,7.0,4.1,5,2,5,4,1,1,1,1,5,5,L,D,D,L,W,D,D,W,M,M,5
45,06/10/2024,Panserraikos,OFI Crete,2,3,A,2,2,D,2.63,2.7,3.2,5,8,12,8,4,3,5,2,1,8,L,D,D,W,L,W,L,D,M,M,6
46,06/10/2024,Athens Kallithea,Asteras Tripolis,1,3,A,1,1,D,2.38,3.1,3.1,3,4,4,5,1,2,2,4,4,5,D,D,D,L,D,D,L,L,M,M,6
47,06/10/2024,Levadeiakos,PAOK,0,2,A,0,0,D,6.0,1.5,4.33,3,11,7,4,0,4,3,1,3,13,D,W,D,D,L,W,L,W,M,M,6
48,06/10/2024,Panathinaikos,Olympiakos,0,0,D,0,0,D,2.7,2.63,3.2,6,8,4,3,2,3,2,2,8,10,W,L,D,D,D,W,W,W,M,M,6
49,19/10/2024,Volos NFC,Panserraikos,0,1,A,0,0,D,2.15,3.7,3.0,3,5,11,12,1,4,4,5,3,1,L,L,L,D,L,L,W,L,M,M,6
50,19/10/2024,Atromitos,Panetolikos,0,2,A,0,2,A,1.75,4.75,3.4,9,4,7,4,3,2,4,1,8,5,W,D,W,D,L,W,D,L,D,L,6
51,19/10/2024,Lamia,Asteras Tripolis,0,0,D,0,0,D,3.4,2.15,3.25,4,4,8,5,2,2,2,4,5,5,L,D,D,L,L,D,D,L,W,W,6
52,20/10/2024,Olympiakos,Levadeiakos,2,2,D,2,1,H,1.22,12.0,6.0,8,3,3,7,3,0,2,3,10,3,L,D,D,D,W,L,W,L,W,D,6
53,20/10/2024,OFI Crete,Panathinaikos,0,1,A,0,1,A,5.5,1.62,3.8,8,6,8,4,3,2,2,2,8,8,D,W,W,D,W,D,D,W,L,L,6
54,20/10/2024,Aris,Athens Kallithea,2,0,H,0,0,D,1.55,6.0,3.9,8,4,6,5,3,2,1,3,11,5,W,D,W,D,L,D,D,D,W,L,7
55,20/10/2024,AEK,PAOK,1,1,D,1,1,D,2.05,3.7,3.4,11,11,1,5,5,4,1,1,14,13,W,L,D,W,W,D,W,W,D,W,7
56,26/10/2024,Panetolikos,Volos NFC,0,1,A,0,0,D,1.9,4.2,3.3,6,4,5,12,2,2,2,5,8,4,W,D,D,L,D,L,W,L,L,W,7
57,26/10/2024,Levadeiakos,Lamia,2,2,D,1,1,D,1.95,4.0,3.2,4,5,8,10,1,2,4,3,4,5,D,L,D,L,D,D,L,L,L,D,7
58,26/10/2024,Panserraikos,AEK,1,0,H,1,0,H,7.5,1.36,4.75,7,11,13,1,5,5,5,1,4,14,W,W,L,D,D,W,L,W,L,D,7
59,27/10/2024,Asteras Tripolis,Olympiakos,1,0,H,1,0,H,8.0,1.42,4.1,5,10,6,3,3,4,5,2,6,13,D,W,D,L,L,D,D,W,L,W,7
60,27/10/2024,Panathinaikos,Aris,1,1,D,1,0,H,1.73,4.75,3.5,6,8,6,6,2,3,3,1,8,11,L,W,W,W,D,L,D,D,W,W,7
61,27/10/2024,PAOK,OFI Crete,1,2,A,1,0,H,1.27,11.0,5.0,11,9,5,10,4,4,1,2,13,8,L,L,W,D,D,W,W,W,W,D,7
62,27/10/2024,Athens Kallithea,Atromitos,0,3,A,0,1,A,2.7,2.63,3.1,4,9,5,9,2,3,3,5,5,8,D,L,D,W,D,W,D,L,L,D,7
63,02/11/2024,Olympiakos,Panserraikos,2,1,H,1,0,H,1.17,19.0,7.0,10,9,3,16,4,7,2,7,14,4,D,L,W,W,L,L,D,D,W,L,8
