,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,FTR_original,HomeForm,HomeGD,DrawRate_Home,WinRate_Home,GoalsAvg_Home,AwayForm,AwayGD,DrawRate_Away,WinRate_Away,GoalsAvg_Away,Year,Month,Weekday,OddsRatio_HA,OddsDiff_HD,OddsDiff_AD,OddsGap_MinDelta,Form_Diff,IsDraw
20,2003-02-02,Bordeaux,Marseille,3.0,1.0,0,0.0,0.0,0,2.2,3.0,3.0,H,2,-1.0,0.0,0.0,0.0,2,5.0,0.0,0.0,0.0,2003,2,6,0.7333333333333334,-0.7999999999999998,0.0,0.7999999999999998,0,0
21,2003-03-02,Auxerre,Lyon,1.0,2.0,2,0.0,2.0,2,2.2,3.0,3.0,A,2,0.0,0.0,0.0,0.0,2,3.0,0.0,0.0,0.0,2003,3,6,0.7333333333333334,-0.7999999999999998,0.0,0.7999999999999998,0,0
22,2002-08-02,Guingamp,Lyon,3.0,3.0,1,1.0,2.0,2,3.2,2.1,3.0,D,2,-4.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,2002,8,4,1.5238095238095237,0.20000000000000018,-0.8999999999999999,1.1,0,1
23,2002-11-02,Lens,Auxerre,3.0,1.0,0,2.0,1.0,1,2.25,2.9,3.0,H,2,2.0,0.0,0.0,0.0,2,-1.0,0.0,0.0,0.0,2002,11,5,0.7758620689655172,-0.75,-0.10000000000000009,0.75,0,0
24,2002-11-02,Bastia,Lille,1.0,0.0,0,1.0,0.0,1,2.2,3.0,3.0,H,2,-3.0,0.0,0.0,0.0,2,3.0,0.0,0.0,0.0,2002,11,5,0.7333333333333334,-0.7999999999999998,0.0,0.7999999999999998,0,0
25,2002-11-02,Monaco,Le Havre,1.0,1.0,1,1.0,0.0,1,1.533,6.0,3.25,D,2,-5.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2002,11,5,0.2555,-1.717,2.75,4.4670000000000005,0,1
26,2002-11-02,Rennes,Ajaccio,0.0,0.0,1,0.0,0.0,0,1.909,3.75,3.0,D,2,-4.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,2002,11,5,0.5090666666666667,-1.091,0.75,1.841,0,1
27,2002-11-02,Sochaux,Strasbourg,2.0,0.0,0,1.0,0.0,1,1.833,4.0,3.0,H,2,-1.0,0.0,0.0,0.0,2,3.0,0.0,0.0,0.0,2002,11,5,0.45825,-1.167,1.0,2.167,0,0
28,2002-11-02,Troyes,Guingamp,0.0,2.0,2,0.0,1.0,2,2.1,3.2,3.0,A,2,1.0,0.0,0.0,0.0,2,-2.0,0.0,0.0,0.0,2002,11,5,0.65625,-0.8999999999999999,0.20000000000000018,1.1,0,0
29,2002-11-02,Marseille,Montpellier,2.0,0.0,0,1.0,0.0,1,1.533,6.0,3.25,H,2,-1.0,0.0,0.0,0.0,2,3.0,0.0,0.0,0.0,2002,11,5,0.2555,-1.717,2.75,4.4670000000000005,0,0
