,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
76,2024-10-27,Lyon,Auxerre,2,2,D,14,11,12,16,13,9,W,W,W,L,W,W,L,L,D,L,9
77,2024-10-27,Montpellier,Toulouse,0,3,A,8,7,26,11,4,6,L,D,L,L,L,L,W,L,L,W,9
78,2024-10-27,Nice,Monaco,2,1,H,16,14,8,4,10,20,D,D,D,W,D,W,W,W,L,W,9
79,2024-10-27,Strasbourg,Nantes,3,1,H,16,10,16,9,10,10,L,D,D,L,W,D,D,D,D,L,9
80,2024-10-27,Marseille,Paris Saint Germain,0,3,A,21,25,8,8,17,20,W,W,D,D,L,W,W,D,W,W,9
81,2024-11-01,Monaco,Angers,0,1,A,15,10,6,16,20,7,L,W,D,D,W,D,W,L,W,D,10
82,2024-11-01,Lille,Lyon,1,1,D,15,16,8,14,17,14,W,D,D,W,W,W,W,W,D,L,10
83,2024-11-02,Paris Saint Germain,Lens,1,0,H,28,9,8,6,23,14,W,L,W,W,D,D,W,D,D,D,10
84,2024-11-02,Stade Brestois 29,Nice,0,1,A,13,18,15,9,13,13,W,W,D,D,W,D,L,D,W,W,10
85,2024-11-02,Saint Etienne,Strasbourg,2,0,H,8,19,24,17,7,13,L,W,L,L,W,D,D,W,L,D,10
86,2024-11-03,Toulouse,Reims,1,0,H,10,16,11,14,9,14,W,L,D,L,L,W,L,W,L,D,10
87,2024-11-03,Auxerre,Rennes,4,0,H,13,13,18,12,10,11,D,W,W,D,L,L,W,L,L,D,10
88,2024-11-03,Le Havre,Montpellier,1,0,H,7,8,20,29,6,4,L,L,L,L,L,L,L,L,L,W,10
89,2024-11-03,Nantes,Marseille,1,2,A,11,21,12,11,10,17,L,L,D,W,L,D,D,L,D,W,10
90,2024-11-08,Marseille,Auxerre,1,3,A,23,17,12,18,20,13,W,W,L,D,W,W,D,L,L,W,11
91,2024-11-09,Strasbourg,Monaco,1,3,A,19,15,19,7,13,20,L,L,W,L,L,D,D,W,W,W,11
92,2024-11-09,Lens,Nantes,3,2,H,9,12,7,14,14,10,L,L,L,L,W,D,D,L,D,D,11
93,2024-11-09,Angers,Paris Saint Germain,2,4,A,11,29,16,8,10,26,W,W,W,W,D,W,D,D,L,W,11
94,2024-11-10,Nice,Lille,2,2,D,19,16,9,9,16,18,W,D,W,W,D,D,D,W,D,W,11
95,2024-11-10,Montpellier,Stade Brestois 29,3,1,H,8,13,30,16,4,13,L,L,L,W,L,D,L,W,L,L,11
96,2024-11-10,Rennes,Toulouse,0,2,A,13,11,16,11,11,12,L,W,W,W,D,D,L,L,L,L,11
97,2024-11-10,Le Havre,Reims,0,3,A,8,16,20,15,9,14,W,L,L,L,L,L,L,W,L,W,11
98,2024-11-10,Lyon,Saint Etienne,1,0,H,17,10,15,24,15,10,D,W,D,L,W,L,W,W,W,D,11
99,2024-11-22,Monaco,Stade Brestois 29,3,2,H,18,14,8,19,23,13,W,L,L,L,L,W,D,D,W,W,12
100,2024-11-22,Paris Saint Germain,Toulouse,3,0,H,33,13,10,11,29,15,W,W,W,W,W,W,W,D,D,L,12
101,2024-11-23,Lens,Marseille,1,3,A,12,24,9,15,17,20,W,L,L,W,L,L,W,W,D,D,12
102,2024-11-23,Saint Etienne,Montpellier,1,0,H,10,11,25,31,10,7,L,W,W,L,L,L,L,L,W,L,12
103,2024-11-23,Reims,Lyon,1,1,D,19,18,15,15,17,18,W,W,L,D,L,D,L,W,W,W,12
104,2024-11-24,Lille,Rennes,1,0,H,18,13,11,18,19,11,D,L,D,L,W,W,D,D,W,L,12
105,2024-11-24,Nantes,Le Havre,0,2,A,14,8,17,23,10,9,L,L,L,W,L,L,D,L,L,L,12
106,2024-11-24,Auxerre,Angers,1,0,H,20,13,19,20,16,10,W,L,W,W,D,W,W,D,L,D,12
107,2024-11-24,Nice,Strasbourg,2,1,H,21,20,11,22,17,13,D,L,W,L,W,W,D,L,D,D,12
108,2024-11-29,Reims,Lens,0,2,A,20,13,16,12,18,17,D,L,W,W,L,L,L,L,L,W,13
109,2024-11-30,Rennes,Saint Etienne,5,0,H,13,11,19,25,11,13,L,W,L,L,L,W,W,L,D,L,13
110,2024-11-30,Stade Brestois 29,Strasbourg,3,1,H,16,21,22,24,13,13,L,L,L,L,L,L,W,W,D,L,13
111,2024-11-30,Paris Saint Germain,Nantes,1,1,D,36,14,10,19,32,10,W,L,W,L,W,L,W,L,W,D,13
112,2024-12-01,Montpellier,Lille,2,2,D,11,19,32,11,7,22,L,W,W,D,L,D,L,W,L,D,13
113,2024-12-01,Lyon,Nice,4,1,H,19,23,16,12,19,20,D,W,W,D,D,W,D,W,W,D,13
114,2024-12-01,Toulouse,Auxerre,2,0,H,13,21,14,19,15,19,L,W,W,W,W,W,W,D,D,W,13
115,2024-12-01,Le Havre,Angers,0,1,A,10,13,23,21,12,10,W,L,L,L,W,W,L,W,L,D,13
