,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
3885,2024-12-14,FC Augsburg,Bayer Leverkusen,0,2,0,0,A,16,30,25,20,16,16,13,9,16,26,D,W,W,W,L,W,D,D,D,D,14
3886,2024-12-14,Union Berlin,VfL Bochum,1,1,1,0,D,12,10,14,34,13,15,3,9,16,2,L,L,L,L,L,L,D,D,L,L,14
3887,2024-12-14,FC St. Pauli,Werder Bremen,0,2,0,0,A,11,20,17,24,5,4,8,15,11,19,L,W,W,D,L,L,L,W,W,L,14
3888,2024-12-15,1. FC Heidenheim,VfB Stuttgart,1,3,1,0,A,17,26,28,23,11,13,11,17,10,20,L,W,L,D,L,W,L,L,L,D,14
3889,2024-12-15,Borussia Dortmund,1899 Hoffenheim,1,1,0,1,D,24,18,20,25,15,10,17,13,21,13,D,D,D,L,W,W,L,D,W,L,14
3890,2024-12-15,RB Leipzig,Eintracht Frankfurt,2,1,1,1,H,21,33,14,18,6,18,11,10,24,27,W,D,L,W,L,W,D,W,L,W,14
3891,2024-12-20,Bayern München,RB Leipzig,5,1,3,2,H,42,23,12,15,10,7,16,12,33,27,L,W,W,W,D,L,W,L,W,D,15
3892,2024-12-21,Werder Bremen,Union Berlin,4,1,3,1,H,22,13,24,15,4,14,15,3,22,17,W,D,W,L,D,L,L,L,W,D,15
3893,2024-12-21,1899 Hoffenheim,Borussia Mönchengladbach,1,2,0,1,A,19,23,26,19,11,15,13,11,14,21,D,W,D,D,L,L,W,W,D,D,15
3894,2024-12-21,Eintracht Frankfurt,FSV Mainz 05,1,3,0,1,A,34,25,20,19,19,11,11,8,27,22,L,W,D,L,W,W,W,W,W,W,15
3895,2024-12-21,VfB Stuttgart,FC St. Pauli,0,1,0,0,A,29,11,24,19,13,5,18,8,23,11,W,L,W,L,D,W,W,L,L,L,15
3896,2024-12-21,Holstein Kiel,FC Augsburg,5,1,4,1,H,14,16,37,27,8,16,14,13,5,16,L,L,L,D,L,W,L,L,L,D,15
3897,2024-12-21,Bayer Leverkusen,SC Freiburg,5,1,1,4,H,32,20,20,19,16,13,9,11,29,24,W,W,W,D,W,W,W,L,D,D,15
3898,2024-12-22,VfL Bochum,1. FC Heidenheim,2,0,2,0,H,11,18,35,31,15,12,10,11,3,10,D,L,L,L,L,L,L,L,D,L,15
3899,2024-12-22,VfL Wolfsburg,Borussia Dortmund,1,3,0,1,A,31,25,25,21,10,15,13,18,21,22,L,D,W,D,W,D,W,W,W,L,15
3900,2025-01-10,Borussia Dortmund,Bayer Leverkusen,2,3,1,1,A,28,37,22,21,16,17,18,13,25,32,W,W,D,W,D,W,D,W,W,W,16
3901,2025-01-11,SC Freiburg,Holstein Kiel,3,2,2,1,H,21,19,24,38,17,12,12,15,24,8,L,W,W,L,D,L,W,L,L,L,16
3902,2025-01-11,FSV Mainz 05,VfL Bochum,2,0,1,1,H,28,13,20,35,12,17,8,10,25,6,W,W,W,D,L,L,W,L,W,L,16
3903,2025-01-11,1899 Hoffenheim,VfL Wolfsburg,0,1,0,0,A,20,32,28,28,11,10,14,14,14,21,L,L,D,L,D,W,L,W,W,W,16
3904,2025-01-11,1. FC Heidenheim,Union Berlin,2,0,1,1,H,18,14,33,19,12,15,13,6,10,17,L,L,L,D,L,L,L,L,L,L,16
3905,2025-01-11,FC St. Pauli,Eintracht Frankfurt,0,1,0,0,A,12,35,19,23,5,19,8,12,14,27,W,L,L,L,L,D,W,W,L,W,16
3906,2025-01-11,Borussia Mönchengladbach,Bayern München,0,1,0,0,A,25,47,20,13,16,13,11,18,24,36,W,W,W,L,D,W,L,D,W,W,16
3907,2025-01-12,RB Leipzig,Werder Bremen,4,2,2,2,H,24,26,20,25,9,7,15,16,27,25,L,W,W,W,W,W,L,D,L,L,16
3908,2025-01-12,FC Augsburg,VfB Stuttgart,0,1,0,0,A,17,29,32,25,17,13,17,18,16,23,L,L,L,W,D,W,W,D,L,W,16
3909,2025-01-14,Holstein Kiel,Borussia Dortmund,4,2,3,1,H,21,30,41,25,13,17,17,19,8,25,L,L,W,W,L,D,L,D,L,D,17
3910,2025-01-14,VfL Wolfsburg,Borussia Mönchengladbach,5,1,1,4,H,33,25,28,21,10,16,14,11,24,24,W,L,L,W,L,W,W,D,W,L,17
3911,2025-01-14,Bayer Leverkusen,FSV Mainz 05,1,0,0,1,H,40,30,23,20,18,13,14,9,35,28,W,W,W,W,W,W,W,L,W,W,17
3912,2025-01-14,Eintracht Frankfurt,SC Freiburg,4,1,1,3,H,36,24,23,26,19,19,12,13,30,27,W,W,L,L,L,W,D,D,W,W,17
3913,2025-01-15,VfL Bochum,FC St. Pauli,1,0,0,1,H,13,12,37,20,18,5,11,8,6,14,L,L,W,W,D,L,L,L,L,W,17
3914,2025-01-15,Bayern München,1899 Hoffenheim,5,0,3,2,H,48,20,13,29,13,11,18,14,39,14,W,L,W,L,L,D,W,D,D,L,17
