,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D
61,2024-10-20,Holstein Kiel,Union Berlin,0,2,A,0.0,1.0,A,3.5,2.15,3.3
62,2024-10-20,Wolfsburg,Werder Bremen,2,4,A,1.0,1.0,D,2.1,3.3,3.6
63,2024-10-25,Mainz,M'gladbach,1,1,D,0.0,0.0,D,2.3,2.8,3.75
64,2024-10-26,Augsburg,Dortmund,2,1,H,1.0,1.0,D,3.6,1.9,4.0
65,2024-10-26,RB Leipzig,Freiburg,3,1,H,0.0,1.0,A,1.73,4.5,4.1
66,2024-10-26,St Pauli,Wolfsburg,0,0,D,0.0,0.0,D,2.55,2.63,3.5
67,2024-10-26,Stuttgart,Holstein Kiel,2,1,H,1.0,0.0,H,1.22,9.5,7.5
68,2024-10-26,Werder Bremen,Leverkusen,2,2,D,0.0,1.0,A,5.25,1.5,5.0
69,2024-10-27,Bochum,Bayern Munich,0,5,A,0.0,2.0,A,12.0,1.17,9.5
70,2024-10-27,Union Berlin,Ein Frankfurt,1,1,D,0.0,1.0,A,2.55,2.75,3.3
71,2024-10-27,Heidenheim,Hoffenheim,0,0,D,0.0,0.0,D,2.25,3.1,3.5
72,2024-11-01,Leverkusen,Stuttgart,0,0,D,0.0,0.0,D,1.55,5.25,4.75
73,2024-11-02,Bayern Munich,Union Berlin,3,0,H,2.0,0.0,H,1.18,13.0,7.5
74,2024-11-02,Ein Frankfurt,Bochum,7,2,H,4.0,1.0,H,1.33,7.5,5.75
75,2024-11-02,Hoffenheim,St Pauli,0,2,A,0.0,1.0,A,1.83,4.0,3.8
76,2024-11-02,Holstein Kiel,Heidenheim,1,0,H,1.0,0.0,H,2.7,2.45,3.5
77,2024-11-02,Wolfsburg,Augsburg,1,1,D,0.0,1.0,A,2.0,3.5,3.75
78,2024-11-02,Dortmund,RB Leipzig,2,1,H,1.0,1.0,D,2.2,3.0,3.8
79,2024-11-03,Freiburg,Mainz,0,0,D,0.0,0.0,D,1.7,4.75,3.9
80,2024-11-03,M'gladbach,Werder Bremen,4,1,H,3.0,0.0,H,2.1,3.2,3.8
81,2024-11-08,Union Berlin,Freiburg,0,0,D,0.0,0.0,D,2.45,2.9,3.25
82,2024-11-09,Bochum,Leverkusen,1,1,D,0.0,1.0,A,9.5,1.27,6.5
83,2024-11-09,Mainz,Dortmund,3,1,H,2.0,1.0,H,3.5,2.0,3.6
84,2024-11-09,St Pauli,Bayern Munich,0,1,A,0.0,1.0,A,9.0,1.25,7.0
85,2024-11-09,Werder Bremen,Holstein Kiel,2,1,H,1.0,0.0,H,1.62,4.75,4.33
86,2024-11-09,RB Leipzig,M'gladbach,0,0,D,0.0,0.0,D,1.57,5.25,4.33
87,2024-11-10,Augsburg,Hoffenheim,0,0,D,0.0,0.0,D,2.05,3.25,3.75
88,2024-11-10,Stuttgart,Ein Frankfurt,2,3,A,0.0,1.0,A,1.9,3.7,4.0
89,2024-11-10,Heidenheim,Wolfsburg,1,3,A,0.0,2.0,A,2.75,2.45,3.4
90,2024-11-22,Bayern Munich,Augsburg,3,0,H,0.0,0.0,D,1.13,15.0,10.0
91,2024-11-23,Dortmund,Freiburg,4,0,H,2.0,0.0,H,1.67,4.5,4.2
92,2024-11-23,Hoffenheim,RB Leipzig,4,3,H,1.0,2.0,A,3.4,2.1,3.5
93,2024-11-23,Leverkusen,Heidenheim,5,2,H,2.0,2.0,D,1.2,15.0,6.5
94,2024-11-23,Stuttgart,Bochum,2,0,H,0.0,0.0,D,1.29,9.0,6.0
95,2024-11-23,Wolfsburg,Union Berlin,1,0,H,0.0,0.0,D,2.3,3.2,3.3
96,2024-11-23,Ein Frankfurt,Werder Bremen,1,0,H,1.0,0.0,H,1.7,4.5,4.1
97,2024-11-24,Holstein Kiel,Mainz,0,3,A,0.0,2.0,A,3.1,2.3,3.4
98,2024-11-24,M'gladbach,St Pauli,2,0,H,2.0,0.0,H,1.8,4.2,3.8
99,2024-11-29,St Pauli,Holstein Kiel,3,1,H,1.0,0.0,H,1.67,5.25,3.75
100,2024-11-30,Augsburg,Bochum,1,0,H,1.0,0.0,H,1.73,4.5,4.0
101,2024-11-30,Freiburg,M'gladbach,3,1,H,1.0,0.0,H,1.95,3.6,3.8
102,2024-11-30,RB Leipzig,Wolfsburg,1,5,A,0.0,3.0,A,1.7,4.75,4.0
103,2024-11-30,Union Berlin,Leverkusen,1,2,A,1.0,1.0,D,4.75,1.75,3.7
104,2024-11-30,Werder Bremen,Stuttgart,2,2,D,1.0,1.0,D,3.0,2.2,3.75
105,2024-11-30,Dortmund,Bayern Munich,1,1,D,1.0,0.0,H,4.75,1.67,4.1
106,2024-12-01,Mainz,Hoffenheim,2,0,H,2.0,0.0,H,2.1,3.5,3.4
