,league,season,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
117,mondiale,2018,2018-06-14,Russia,Saudi Arabia,5,0,2,0,H
118,mondiale,2018,2018-06-15,Egypt,Uruguay,0,1,0,0,A
119,mondiale,2018,2018-06-15,Morocco,Iran,0,1,0,0,A
120,mondiale,2018,2018-06-15,Portugal,Spain,3,3,2,1,D
121,mondiale,2018,2018-06-16,France,Australia,2,1,0,0,H
122,mondiale,2018,2018-06-16,Argentina,Iceland,1,1,1,1,D
123,mondiale,2018,2018-06-16,Peru,Denmark,0,1,0,0,A
124,mondiale,2018,2018-06-16,Croatia,Nigeria,2,0,1,0,H
125,mondiale,2018,2018-06-17,Costa Rica,Serbia,0,1,0,0,A
126,mondiale,2018,2018-06-17,Germany,Mexico,0,1,0,1,A
127,mondiale,2018,2018-06-17,Brazil,Switzerland,1,1,1,0,D
128,mondiale,2018,2018-06-18,Sweden,South Korea,1,0,0,0,H
129,mondiale,2018,2018-06-18,Belgium,Panama,3,0,0,0,H
130,mondiale,2018,2018-06-18,Tunisia,England,1,2,1,1,A
131,mondiale,2018,2018-06-19,Colombia,Japan,1,2,1,1,A
132,mondiale,2018,2018-06-19,Poland,Senegal,1,2,0,1,A
133,mondiale,2018,2018-06-19,Russia,Egypt,3,1,0,0,H
134,mondiale,2018,2018-06-20,Portugal,Morocco,1,0,1,0,H
135,mondiale,2018,2018-06-20,Uruguay,Saudi Arabia,1,0,1,0,H
136,mondiale,2018,2018-06-20,Iran,Spain,0,1,0,0,A
137,mondiale,2018,2018-06-21,Denmark,Australia,1,1,1,1,D
138,mondiale,2018,2018-06-21,France,Peru,1,0,1,0,H
139,mondiale,2018,2018-06-21,Argentina,Croatia,0,3,0,0,A
140,mondiale,2018,2018-06-22,Brazil,Costa Rica,2,0,0,0,H
141,mondiale,2018,2018-06-22,Nigeria,Iceland,2,0,0,0,H
142,mondiale,2018,2018-06-22,Serbia,Switzerland,1,2,1,0,A
143,mondiale,2018,2018-06-23,Belgium,Tunisia,5,2,3,1,H
144,mondiale,2018,2018-06-23,South Korea,Mexico,1,2,0,1,A
145,mondiale,2018,2018-06-23,Germany,Sweden,2,1,0,1,H
146,mondiale,2018,2018-06-24,England,Panama,6,1,5,0,H
147,mondiale,2018,2018-06-24,Japan,Senegal,2,2,1,1,D
148,mondiale,2018,2018-06-24,Poland,Colombia,0,3,0,1,A
149,mondiale,2018,2018-06-25,Uruguay,Russia,3,0,2,0,H
150,mondiale,2018,2018-06-25,Saudi Arabia,Egypt,2,1,1,1,H
151,mondiale,2018,2018-06-25,Spain,Morocco,2,2,1,1,D
152,mondiale,2018,2018-06-25,Iran,Portugal,1,1,0,1,D
153,mondiale,2018,2018-06-26,Australia,Peru,0,2,0,1,A
154,mondiale,2018,2018-06-26,Denmark,France,0,0,0,0,D
155,mondiale,2018,2018-06-26,Iceland,Croatia,1,2,0,0,A
156,mondiale,2018,2018-06-26,Nigeria,Argentina,1,2,0,1,A
157,mondiale,2018,2018-06-27,Mexico,Sweden,0,3,0,0,A
158,mondiale,2018,2018-06-27,South Korea,Germany,2,0,0,0,H
159,mondiale,2018,2018-06-27,Serbia,Brazil,0,2,0,1,A
160,mondiale,2018,2018-06-27,Switzerland,Costa Rica,2,2,1,0,D
161,mondiale,2018,2018-06-28,Japan,Poland,0,1,0,0,A
162,mondiale,2018,2018-06-28,Senegal,Colombia,0,1,0,0,A
163,mondiale,2018,2018-06-28,England,Belgium,0,1,0,0,A
164,mondiale,2018,2018-06-28,Panama,Tunisia,1,2,1,0,A
165,mondiale,2018,2018-06-30,France,Argentina,4,3,1,1,H
166,mondiale,2018,2018-06-30,Uruguay,Portugal,2,1,1,0,H
167,mondiale,2018,2018-07-02,Brazil,Mexico,2,0,0,0,H
168,mondiale,2018,2018-07-02,Belgium,Japan,3,2,0,0,H
169,mondiale,2018,2018-07-03,Sweden,Switzerland,1,0,0,0,H
170,mondiale,2018,2018-07-06,Uruguay,France,0,2,0,1,A
171,mondiale,2018,2018-07-06,Brazil,Belgium,1,2,0,2,A
172,mondiale,2018,2018-07-07,Sweden,England,0,2,0,1,A
173,mondiale,2018,2018-07-10,France,Belgium,1,0,0,0,H
174,mondiale,2018,2018-07-14,Belgium,England,2,0,1,0,H
175,mondiale,2018,2018-07-15,France,Croatia,4,2,2,1,H
